date_id,date,year,month,day,weekday,is_holiday
0,2023-01-01,2023,1,1,6,True
1,2023-01-02,2023,1,2,0,False
2,2023-01-03,2023,1,3,1,False
3,2023-01-04,2023,1,4,2,False
4,2023-01-05,2023,1,5,3,False
5,2023-01-06,2023,1,6,4,False
6,2023-01-07,2023,1,7,5,False
7,2023-01-08,2023,1,8,6,False
8,2023-01-09,2023,1,9,0,False
9,2023-01-10,2023,1,10,1,False
10,2023-01-11,2023,1,11,2,False
11,2023-01-12,2023,1,12,3,False
12,2023-01-13,2023,1,13,4,False
13,2023-01-14,2023,1,14,5,False
14,2023-01-15,2023,1,15,6,False
15,2023-01-16,2023,1,16,0,True
16,2023-01-17,2023,1,17,1,False
17,2023-01-18,2023,1,18,2,False
18,2023-01-19,2023,1,19,3,False
19,2023-01-20,2023,1,20,4,False
20,2023-01-21,2023,1,21,5,False
21,2023-01-22,2023,1,22,6,False
22,2023-01-23,2023,1,23,0,False
23,2023-01-24,2023,1,24,1,False
24,2023-01-25,2023,1,25,2,False
25,2023-01-26,2023,1,26,3,False
26,2023-01-27,2023,1,27,4,False
27,2023-01-28,2023,1,28,5,False
28,2023-01-29,2023,1,29,6,False
29,2023-01-30,2023,1,30,0,False
30,2023-01-31,2023,1,31,1,False
31,2023-02-01,2023,2,1,2,False
32,2023-02-02,2023,2,2,3,False
33,2023-02-03,2023,2,3,4,False
34,2023-02-04,2023,2,4,5,False
35,2023-02-05,2023,2,5,6,False
36,2023-02-06,2023,2,6,0,False
37,2023-02-07,2023,2,7,1,False
38,2023-02-08,2023,2,8,2,False
39,2023-02-09,2023,2,9,3,False
40,2023-02-10,2023,2,10,4,False
41,2023-02-11,2023,2,11,5,False
42,2023-02-12,2023,2,12,6,False
43,2023-02-13,2023,2,13,0,False
44,2023-02-14,2023,2,14,1,False
45,2023-02-15,2023,2,15,2,False
46,2023-02-16,2023,2,16,3,False
47,2023-02-17,2023,2,17,4,False
48,2023-02-18,2023,2,18,5,False
49,2023-02-19,2023,2,19,6,False
50,2023-02-20,2023,2,20,0,True
51,2023-02-21,2023,2,21,1,False
52,2023-02-22,2023,2,22,2,False
53,2023-02-23,2023,2,23,3,False
54,2023-02-24,2023,2,24,4,False
55,2023-02-25,2023,2,25,5,False
56,2023-02-26,2023,2,26,6,False
57,2023-02-27,2023,2,27,0,False
58,2023-02-28,2023,2,28,1,False
59,2023-03-01,2023,3,1,2,False
60,2023-03-02,2023,3,2,3,False
61,2023-03-03,2023,3,3,4,False
62,2023-03-04,2023,3,4,5,False
63,2023-03-05,2023,3,5,6,False
64,2023-03-06,2023,3,6,0,False
65,2023-03-07,2023,3,7,1,False
66,2023-03-08,2023,3,8,2,False
67,2023-03-09,2023,3,9,3,False
68,2023-03-10,2023,3,10,4,False
69,2023-03-11,2023,3,11,5,False
70,2023-03-12,2023,3,12,6,False
71,2023-03-13,2023,3,13,0,False
72,2023-03-14,2023,3,14,1,False
73,2023-03-15,2023,3,15,2,False
74,2023-03-16,2023,3,16,3,False
75,2023-03-17,2023,3,17,4,False
76,2023-03-18,2023,3,18,5,False
77,2023-03-19,2023,3,19,6,False
78,2023-03-20,2023,3,20,0,False
79,2023-03-21,2023,3,21,1,False
80,2023-03-22,2023,3,22,2,False
81,2023-03-23,2023,3,23,3,False
82,2023-03-24,2023,3,24,4,False
83,2023-03-25,2023,3,25,5,False
84,2023-03-26,2023,3,26,6,False
85,2023-03-27,2023,3,27,0,False
86,2023-03-28,2023,3,28,1,False
87,2023-03-29,2023,3,29,2,False
88,2023-03-30,2023,3,30,3,False
89,2023-03-31,2023,3,31,4,False
90,2023-04-01,2023,4,1,5,False
91,2023-04-02,2023,4,2,6,False
92,2023-04-03,2023,4,3,0,False
93,2023-04-04,2023,4,4,1,False
94,2023-04-05,2023,4,5,2,False
95,2023-04-06,2023,4,6,3,False
96,2023-04-07,2023,4,7,4,False
97,2023-04-08,2023,4,8,5,False
98,2023-04-09,2023,4,9,6,False
99,2023-04-10,2023,4,10,0,False
100,2023-04-11,2023,4,11,1,False
101,2023-04-12,2023,4,12,2,False
102,2023-04-13,2023,4,13,3,False
103,2023-04-14,2023,4,14,4,False
104,2023-04-15,2023,4,15,5,False
105,2023-04-16,2023,4,16,6,False
106,2023-04-17,2023,4,17,0,False
107,2023-04-18,2023,4,18,1,False
108,2023-04-19,2023,4,19,2,False
109,2023-04-20,2023,4,20,3,False
110,2023-04-21,2023,4,21,4,False
111,2023-04-22,2023,4,22,5,False
112,2023-04-23,2023,4,23,6,False
113,2023-04-24,2023,4,24,0,False
114,2023-04-25,2023,4,25,1,False
115,2023-04-26,2023,4,26,2,False
116,2023-04-27,2023,4,27,3,False
117,2023-04-28,2023,4,28,4,False
118,2023-04-29,2023,4,29,5,True
119,2023-04-30,2023,4,30,6,False
120,2023-05-01,2023,5,1,0,False
121,2023-05-02,2023,5,2,1,False
122,2023-05-03,2023,5,3,2,False
123,2023-05-04,2023,5,4,3,False
124,2023-05-05,2023,5,5,4,False
125,2023-05-06,2023,5,6,5,False
126,2023-05-07,2023,5,7,6,False
127,2023-05-08,2023,5,8,0,False
128,2023-05-09,2023,5,9,1,False
129,2023-05-10,2023,5,10,2,False
130,2023-05-11,2023,5,11,3,False
131,2023-05-12,2023,5,12,4,False
132,2023-05-13,2023,5,13,5,False
133,2023-05-14,2023,5,14,6,False
134,2023-05-15,2023,5,15,0,False
135,2023-05-16,2023,5,16,1,False
136,2023-05-17,2023,5,17,2,False
137,2023-05-18,2023,5,18,3,False
138,2023-05-19,2023,5,19,4,False
139,2023-05-20,2023,5,20,5,False
140,2023-05-21,2023,5,21,6,False
141,2023-05-22,2023,5,22,0,False
142,2023-05-23,2023,5,23,1,False
143,2023-05-24,2023,5,24,2,False
144,2023-05-25,2023,5,25,3,False
145,2023-05-26,2023,5,26,4,False
146,2023-05-27,2023,5,27,5,False
147,2023-05-28,2023,5,28,6,False
148,2023-05-29,2023,5,29,0,False
149,2023-05-30,2023,5,30,1,False
150,2023-05-31,2023,5,31,2,False
151,2023-06-01,2023,6,1,3,False
152,2023-06-02,2023,6,2,4,False
153,2023-06-03,2023,6,3,5,False
154,2023-06-04,2023,6,4,6,False
155,2023-06-05,2023,6,5,0,False
156,2023-06-06,2023,6,6,1,False
157,2023-06-07,2023,6,7,2,False
158,2023-06-08,2023,6,8,3,False
159,2023-06-09,2023,6,9,4,False
160,2023-06-10,2023,6,10,5,False
161,2023-06-11,2023,6,11,6,False
162,2023-06-12,2023,6,12,0,False
163,2023-06-13,2023,6,13,1,False
164,2023-06-14,2023,6,14,2,False
165,2023-06-15,2023,6,15,3,False
166,2023-06-16,2023,6,16,4,False
167,2023-06-17,2023,6,17,5,False
168,2023-06-18,2023,6,18,6,False
169,2023-06-19,2023,6,19,0,True
170,2023-06-20,2023,6,20,1,False
171,2023-06-21,2023,6,21,2,False
172,2023-06-22,2023,6,22,3,False
173,2023-06-23,2023,6,23,4,False
174,2023-06-24,2023,6,24,5,False
175,2023-06-25,2023,6,25,6,False
176,2023-06-26,2023,6,26,0,False
177,2023-06-27,2023,6,27,1,False
178,2023-06-28,2023,6,28,2,False
179,2023-06-29,2023,6,29,3,False
180,2023-06-30,2023,6,30,4,False
181,2023-07-01,2023,7,1,5,False
182,2023-07-02,2023,7,2,6,False
183,2023-07-03,2023,7,3,0,False
184,2023-07-04,2023,7,4,1,True
185,2023-07-05,2023,7,5,2,False
186,2023-07-06,2023,7,6,3,False
187,2023-07-07,2023,7,7,4,False
188,2023-07-08,2023,7,8,5,False
189,2023-07-09,2023,7,9,6,False
190,2023-07-10,2023,7,10,0,False
191,2023-07-11,2023,7,11,1,False
192,2023-07-12,2023,7,12,2,False
193,2023-07-13,2023,7,13,3,False
194,2023-07-14,2023,7,14,4,False
195,2023-07-15,2023,7,15,5,False
196,2023-07-16,2023,7,16,6,False
197,2023-07-17,2023,7,17,0,False
198,2023-07-18,2023,7,18,1,False
199,2023-07-19,2023,7,19,2,False
200,2023-07-20,2023,7,20,3,False
201,2023-07-21,2023,7,21,4,False
202,2023-07-22,2023,7,22,5,False
203,2023-07-23,2023,7,23,6,False
204,2023-07-24,2023,7,24,0,False
205,2023-07-25,2023,7,25,1,False
206,2023-07-26,2023,7,26,2,False
207,2023-07-27,2023,7,27,3,False
208,2023-07-28,2023,7,28,4,False
209,2023-07-29,2023,7,29,5,False
210,2023-07-30,2023,7,30,6,False
211,2023-07-31,2023,7,31,0,False
212,2023-08-01,2023,8,1,1,False
213,2023-08-02,2023,8,2,2,False
214,2023-08-03,2023,8,3,3,False
215,2023-08-04,2023,8,4,4,False
216,2023-08-05,2023,8,5,5,False
217,2023-08-06,2023,8,6,6,False
218,2023-08-07,2023,8,7,0,False
219,2023-08-08,2023,8,8,1,False
220,2023-08-09,2023,8,9,2,False
221,2023-08-10,2023,8,10,3,False
222,2023-08-11,2023,8,11,4,False
223,2023-08-12,2023,8,12,5,False
224,2023-08-13,2023,8,13,6,False
225,2023-08-14,2023,8,14,0,False
226,2023-08-15,2023,8,15,1,False
227,2023-08-16,2023,8,16,2,False
228,2023-08-17,2023,8,17,3,False
229,2023-08-18,2023,8,18,4,False
230,2023-08-19,2023,8,19,5,False
231,2023-08-20,2023,8,20,6,False
232,2023-08-21,2023,8,21,0,False
233,2023-08-22,2023,8,22,1,False
234,2023-08-23,2023,8,23,2,False
235,2023-08-24,2023,8,24,3,False
236,2023-08-25,2023,8,25,4,False
237,2023-08-26,2023,8,26,5,False
238,2023-08-27,2023,8,27,6,False
239,2023-08-28,2023,8,28,0,False
240,2023-08-29,2023,8,29,1,False
241,2023-08-30,2023,8,30,2,False
242,2023-08-31,2023,8,31,3,False
243,2023-09-01,2023,9,1,4,False
244,2023-09-02,2023,9,2,5,False
245,2023-09-03,2023,9,3,6,False
246,2023-09-04,2023,9,4,0,True
247,2023-09-05,2023,9,5,1,False
248,2023-09-06,2023,9,6,2,False
249,2023-09-07,2023,9,7,3,False
250,2023-09-08,2023,9,8,4,False
251,2023-09-09,2023,9,9,5,False
252,2023-09-10,2023,9,10,6,False
253,2023-09-11,2023,9,11,0,False
254,2023-09-12,2023,9,12,1,False
255,2023-09-13,2023,9,13,2,False
256,2023-09-14,2023,9,14,3,False
257,2023-09-15,2023,9,15,4,False
258,2023-09-16,2023,9,16,5,False
259,2023-09-17,2023,9,17,6,False
260,2023-09-18,2023,9,18,0,False
261,2023-09-19,2023,9,19,1,False
262,2023-09-20,2023,9,20,2,False
263,2023-09-21,2023,9,21,3,False
264,2023-09-22,2023,9,22,4,False
265,2023-09-23,2023,9,23,5,False
266,2023-09-24,2023,9,24,6,False
267,2023-09-25,2023,9,25,0,False
268,2023-09-26,2023,9,26,1,False
269,2023-09-27,2023,9,27,2,False
270,2023-09-28,2023,9,28,3,False
271,2023-09-29,2023,9,29,4,False
272,2023-09-30,2023,9,30,5,False
273,2023-10-01,2023,10,1,6,False
274,2023-10-02,2023,10,2,0,False
275,2023-10-03,2023,10,3,1,False
276,2023-10-04,2023,10,4,2,False
277,2023-10-05,2023,10,5,3,False
278,2023-10-06,2023,10,6,4,False
279,2023-10-07,2023,10,7,5,False
280,2023-10-08,2023,10,8,6,False
281,2023-10-09,2023,10,9,0,False
282,2023-10-10,2023,10,10,1,False
283,2023-10-11,2023,10,11,2,False
284,2023-10-12,2023,10,12,3,False
285,2023-10-13,2023,10,13,4,False
286,2023-10-14,2023,10,14,5,False
287,2023-10-15,2023,10,15,6,False
288,2023-10-16,2023,10,16,0,False
289,2023-10-17,2023,10,17,1,False
290,2023-10-18,2023,10,18,2,False
291,2023-10-19,2023,10,19,3,False
292,2023-10-20,2023,10,20,4,False
293,2023-10-21,2023,10,21,5,False
294,2023-10-22,2023,10,22,6,False
295,2023-10-23,2023,10,23,0,False
296,2023-10-24,2023,10,24,1,False
297,2023-10-25,2023,10,25,2,False
298,2023-10-26,2023,10,26,3,False
299,2023-10-27,2023,10,27,4,False
300,2023-10-28,2023,10,28,5,False
301,2023-10-29,2023,10,29,6,False
302,2023-10-30,2023,10,30,0,False
303,2023-10-31,2023,10,31,1,False
304,2023-11-01,2023,11,1,2,False
305,2023-11-02,2023,11,2,3,False
306,2023-11-03,2023,11,3,4,False
307,2023-11-04,2023,11,4,5,False
308,2023-11-05,2023,11,5,6,False
309,2023-11-06,2023,11,6,0,False
310,2023-11-07,2023,11,7,1,False
311,2023-11-08,2023,11,8,2,False
312,2023-11-09,2023,11,9,3,False
313,2023-11-10,2023,11,10,4,False
314,2023-11-11,2023,11,11,5,False
315,2023-11-12,2023,11,12,6,False
316,2023-11-13,2023,11,13,0,False
317,2023-11-14,2023,11,14,1,False
318,2023-11-15,2023,11,15,2,False
319,2023-11-16,2023,11,16,3,False
320,2023-11-17,2023,11,17,4,False
321,2023-11-18,2023,11,18,5,False
322,2023-11-19,2023,11,19,6,False
323,2023-11-20,2023,11,20,0,False
324,2023-11-21,2023,11,21,1,False
325,2023-11-22,2023,11,22,2,False
326,2023-11-23,2023,11,23,3,True
327,2023-11-24,2023,11,24,4,False
328,2023-11-25,2023,11,25,5,False
329,2023-11-26,2023,11,26,6,False
330,2023-11-27,2023,11,27,0,False
331,2023-11-28,2023,11,28,1,False
332,2023-11-29,2023,11,29,2,False
333,2023-11-30,2023,11,30,3,False
334,2023-12-01,2023,12,1,4,False
335,2023-12-02,2023,12,2,5,False
336,2023-12-03,2023,12,3,6,False
337,2023-12-04,2023,12,4,0,False
338,2023-12-05,2023,12,5,1,False
339,2023-12-06,2023,12,6,2,False
340,2023-12-07,2023,12,7,3,False
341,2023-12-08,2023,12,8,4,False
342,2023-12-09,2023,12,9,5,False
343,2023-12-10,2023,12,10,6,False
344,2023-12-11,2023,12,11,0,False
345,2023-12-12,2023,12,12,1,False
346,2023-12-13,2023,12,13,2,False
347,2023-12-14,2023,12,14,3,False
348,2023-12-15,2023,12,15,4,False
349,2023-12-16,2023,12,16,5,False
350,2023-12-17,2023,12,17,6,False
351,2023-12-18,2023,12,18,0,False
352,2023-12-19,2023,12,19,1,False
353,2023-12-20,2023,12,20,2,False
354,2023-12-21,2023,12,21,3,False
355,2023-12-22,2023,12,22,4,False
356,2023-12-23,2023,12,23,5,False
357,2023-12-24,2023,12,24,6,False
358,2023-12-25,2023,12,25,0,True
359,2023-12-26,2023,12,26,1,False
360,2023-12-27,2023,12,27,2,False
361,2023-12-28,2023,12,28,3,False
362,2023-12-29,2023,12,29,4,False
363,2023-12-30,2023,12,30,5,False
364,2023-12-31,2023,12,31,6,False
